"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdsum",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total -m -d -n -T --noupdate --output 4jobs_20cores_sh20.csv",,,,"Date:","25 Jun 2016 18:51:23 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","epoch"
0.150,0.182,99.599,0.067,0.000,0.003,0.118,0.170,99.691,0.021,0.0,0.000,0.104,0.154,99.737,0.005,0.0,0.000,0.137,0.160,99.679,0.024,0.000,0.000,0.140,0.159,99.676,0.024,0.0,0.000,0.145,0.161,99.649,0.045,0.000,0.001,0.142,0.157,99.663,0.038,0.0,0.000,0.140,0.153,99.679,0.027,0.0,0.000,0.103,0.147,99.739,0.011,0.0,0.000,0.101,0.142,99.753,0.004,0.0,0.000,0.135,0.178,99.684,0.002,0.0,0.000,0.140,0.168,99.686,0.005,0.000,0.000,0.141,0.165,99.687,0.008,0.000,0.000,0.142,0.162,99.688,0.008,0.000,0.000,0.118,0.153,99.726,0.003,0.0,0.000,0.115,0.154,99.730,0.001,0.0,0.000,0.110,0.151,99.738,0.001,0.0,0.000,0.108,0.145,99.746,0.001,0.0,0.000,0.101,0.146,99.752,0.001,0.0,0.000,0.102,0.144,99.753,0.001,0.0,0.000,0.125,0.158,99.703,0.015,0.000,0.000,1905250304.0,1141796864.0,9253912576.0,1.35579549696e+11,681.182,51520.684,0.0,0.0,1466880683.677
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1905250304.0,1141796864.0,9253916672.0,1.355795456e+11,0.0,0.0,264.0,678.0,1466880684.678
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.250,0.400,99.349,0.0,0.0,0.0,1908772864.0,1141796864.0,9253928960.0,1.35576010752e+11,0.0,139264.0,4552.0,3148.0,1466880685.678
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,3.030,1.010,95.960,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.961,1.961,96.078,0.0,0.0,0.0,4.082,2.041,93.878,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59.0,12.0,29.0,0.0,0.0,0.0,10.101,1.010,88.889,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,5.0,94.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.165,1.305,94.481,0.0,0.0,0.050,1914793984.0,1141796864.0,9301319680.0,1.35522598912e+11,0.0,135168.0,639.0,928.0,1466880686.678
10.309,3.093,86.598,0.0,0.0,0.0,3.093,1.031,95.876,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,74.0,8.0,18.0,0.0,0.0,0.0,5.941,0.0,94.059,0.0,0.0,0.0,2.062,9.278,88.660,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.824,1.307,93.869,0.0,0.0,0.0,1917026304.0,1141796864.0,9374453760.0,1.35447232512e+11,0.0,0.0,132.0,1020.0,1466880687.678
0.990,0.0,98.020,0.0,0.0,0.990,5.051,11.111,83.838,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,93.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.061,93.939,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.082,14.286,81.633,0.0,0.0,0.0,3.061,8.163,88.776,0.0,0.0,0.0,3.061,6.122,90.816,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,42.0,3.0,55.0,0.0,0.0,0.0,1.010,9.091,89.899,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.271,3.221,93.457,0.050,0.0,0.0,1920974848.0,1141817344.0,9572548608.0,1.3524516864e+11,0.0,2306048.0,1294.0,18165.0,1466880688.678
2.020,2.020,95.960,0.0,0.0,0.0,1.031,0.0,98.969,0.0,0.0,0.0,3.061,1.020,95.918,0.0,0.0,0.0,1.020,6.122,92.857,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.081,14.141,77.778,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,6.0,18.0,76.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.970,11.881,85.149,0.0,0.0,0.0,1.457,3.516,94.776,0.201,0.0,0.050,1913606144.0,1143832576.0,9414508544.0,1.35408562176e+11,4096.0,6848512.0,232.0,400.0,1466880689.678
0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,29.293,9.091,61.616,0.0,0.0,0.0,3.960,3.960,92.079,0.0,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,5.882,8.824,85.294,0.0,0.0,0.0,6.931,6.931,86.139,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,9.0,2.0,89.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,3.158,2.005,94.837,0.0,0.0,0.0,1925357568.0,1143832576.0,9416888320.0,1.35394430976e+11,0.0,90112.0,1169.0,3040.0,1466880690.678
4.040,14.141,81.818,0.0,0.0,0.0,16.327,17.347,66.327,0.0,0.0,0.0,14.0,19.0,67.0,0.0,0.0,0.0,13.402,31.959,54.639,0.0,0.0,0.0,14.583,14.583,70.833,0.0,0.0,0.0,12.500,18.750,68.750,0.0,0.0,0.0,13.265,23.469,63.265,0.0,0.0,0.0,19.0,14.0,67.0,0.0,0.0,0.0,9.091,24.242,66.667,0.0,0.0,0.0,8.511,23.404,68.085,0.0,0.0,0.0,12.632,22.105,64.211,0.0,0.0,1.053,9.278,23.711,67.010,0.0,0.0,0.0,12.632,26.316,61.053,0.0,0.0,0.0,5.102,6.122,80.612,5.102,0.0,3.061,4.082,4.082,91.837,0.0,0.0,0.0,9.0,10.0,81.0,0.0,0.0,0.0,58.0,12.0,30.0,0.0,0.0,0.0,10.753,17.204,72.043,0.0,0.0,0.0,14.433,17.526,68.041,0.0,0.0,0.0,9.375,18.750,71.875,0.0,0.0,0.0,13.515,17.986,68.140,0.257,0.0,0.103,2111643648.0,1143836672.0,9440018432.0,1.35185010688e+11,0.0,112091136.0,2354.0,28188.0,1466880691.678
5.263,17.895,76.842,0.0,0.0,0.0,3.0,22.0,75.0,0.0,0.0,0.0,4.211,24.211,71.579,0.0,0.0,0.0,10.417,29.167,60.417,0.0,0.0,0.0,13.542,18.750,67.708,0.0,0.0,0.0,8.0,20.0,72.0,0.0,0.0,0.0,8.0,16.0,76.0,0.0,0.0,0.0,6.186,15.464,78.351,0.0,0.0,0.0,1.010,8.081,90.909,0.0,0.0,0.0,5.208,22.917,71.875,0.0,0.0,0.0,38.144,10.309,51.546,0.0,0.0,0.0,6.452,17.204,76.344,0.0,0.0,0.0,3.883,16.505,79.612,0.0,0.0,0.0,4.082,10.204,85.714,0.0,0.0,0.0,4.040,13.131,82.828,0.0,0.0,0.0,5.102,6.122,88.776,0.0,0.0,0.0,11.224,21.429,67.347,0.0,0.0,0.0,4.348,26.087,69.565,0.0,0.0,0.0,1.961,6.863,91.176,0.0,0.0,0.0,2.970,32.673,64.356,0.0,0.0,0.0,7.260,17.689,75.051,0.0,0.0,0.0,2047864832.0,1143836672.0,9443172352.0,1.35245635584e+11,0.0,2048000.0,144.0,1314.0,1466880692.678
