"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdsum",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total -m -d -n -T --noupdate --output 8jobs_16cores.csv",,,,"Date:","25 Jun 2016 19:19:28 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","epoch"
0.164,0.196,99.570,0.067,0.000,0.003,0.133,0.184,99.662,0.021,0.0,0.000,0.120,0.168,99.707,0.005,0.0,0.000,0.154,0.172,99.650,0.024,0.000,0.000,0.157,0.173,99.646,0.024,0.0,0.000,0.162,0.174,99.619,0.045,0.000,0.001,0.158,0.171,99.633,0.038,0.0,0.000,0.157,0.166,99.650,0.027,0.0,0.000,0.120,0.160,99.709,0.011,0.0,0.000,0.118,0.154,99.724,0.004,0.0,0.000,0.150,0.193,99.654,0.002,0.0,0.000,0.156,0.182,99.657,0.005,0.000,0.000,0.156,0.178,99.659,0.008,0.000,0.000,0.158,0.175,99.659,0.008,0.000,0.000,0.134,0.166,99.697,0.003,0.0,0.000,0.130,0.166,99.702,0.001,0.0,0.000,0.127,0.163,99.709,0.001,0.0,0.000,0.125,0.157,99.717,0.001,0.0,0.000,0.117,0.158,99.725,0.001,0.0,0.000,0.119,0.156,99.725,0.001,0.0,0.000,0.141,0.171,99.674,0.015,0.000,0.000,2095505408.0,1311043584.0,9892089856.0,1.34581870592e+11,760.635,60322.313,0.0,0.0,1466882368.150
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.050,0.100,99.850,0.0,0.0,0.0,2095456256.0,1311043584.0,9892093952.0,1.34581915648e+11,0.0,28672.0,695.0,1535.0,1466882369.151
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.050,0.100,99.850,0.0,0.0,0.0,2095456256.0,1311043584.0,9892093952.0,1.34581915648e+11,0.0,0.0,198.0,682.0,1466882370.151
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.050,99.950,0.0,0.0,0.0,2095456256.0,1311043584.0,9892093952.0,1.34581915648e+11,0.0,0.0,132.0,404.0,1466882371.151
2.0,3.0,95.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,5.051,4.040,90.909,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.970,3.960,93.069,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,4.0,4.0,92.0,0.0,0.0,0.0,4.082,0.0,95.918,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.030,2.020,94.949,0.0,0.0,0.0,1.204,1.305,97.491,0.0,0.0,0.0,2103025664.0,1311047680.0,9897107456.0,1.3456932864e+11,0.0,278528.0,5262.0,4060.0,1466882372.151
42.424,6.061,51.515,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,5.051,92.929,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.0,8.0,51.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,4.0,92.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,4.568,1.305,94.127,0.0,0.0,0.0,2102382592.0,1311047680.0,9966632960.0,1.34500446208e+11,0.0,0.0,132.0,932.0,1466882373.151
39.604,8.911,51.485,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.099,98.901,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.082,0.0,91.837,4.082,0.0,0.0,1.064,5.319,93.617,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,1.020,3.061,95.918,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.404,3.030,56.566,0.0,0.0,0.0,4.548,1.415,93.835,0.202,0.0,0.0,2102239232.0,1311047680.0,10035142656.0,1.34432079872e+11,0.0,794624.0,132.0,404.0,1466882374.151
4.124,5.155,90.722,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.061,6.122,90.816,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,3.030,0.0,96.970,0.0,0.0,0.0,4.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.0,9.0,81.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,16.0,5.0,79.0,0.0,0.0,0.0,12.121,6.061,81.818,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,7.143,10.204,81.633,1.020,0.0,0.0,7.767,10.680,81.553,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.062,91.753,6.186,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,3.676,3.424,92.548,0.352,0.0,0.0,2113093632.0,1311072256.0,10217865216.0,1.34238478336e+11,0.0,115728384.0,6212.0,18657.0,1466882375.151
2.970,0.990,95.050,0.990,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.075,1.075,97.849,0.0,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.871,6.931,80.198,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,47.0,7.0,46.0,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,0.0,4.301,95.699,0.0,0.0,0.0,9.0,6.0,85.0,0.0,0.0,0.0,7.071,8.081,84.848,0.0,0.0,0.0,4.167,8.333,87.500,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.499,2.427,93.074,0.0,0.0,0.0,2112028672.0,1311440896.0,10318647296.0,1.34138392576e+11,0.0,0.0,66.0,956.0,1466882376.151
5.0,12.0,83.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.333,96.667,0.0,0.0,0.0,1.020,5.102,93.878,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,42.0,5.0,53.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,27.835,10.309,61.856,0.0,0.0,0.0,14.286,6.122,79.592,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.255,6.383,89.362,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.858,2.530,92.611,0.0,0.0,0.0,2111631360.0,1311703040.0,10463141888.0,1.33994033152e+11,0.0,0.0,132.0,302.0,1466882377.151
