"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdsum",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total -m -d -n -T --noupdate --output 4jobs_20cores.csv",,,,"Date:","25 Jun 2016 18:07:31 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","epoch"
0.134,0.168,99.628,0.067,0.000,0.003,0.101,0.158,99.719,0.021,0.0,0.000,0.087,0.141,99.767,0.005,0.0,0.000,0.120,0.148,99.708,0.024,0.000,0.000,0.123,0.148,99.705,0.024,0.0,0.000,0.127,0.149,99.677,0.045,0.000,0.001,0.125,0.146,99.691,0.038,0.0,0.000,0.122,0.143,99.707,0.027,0.0,0.000,0.087,0.136,99.766,0.011,0.0,0.000,0.084,0.131,99.782,0.004,0.0,0.000,0.120,0.165,99.713,0.002,0.0,0.000,0.124,0.155,99.715,0.005,0.000,0.000,0.125,0.153,99.714,0.007,0.000,0.000,0.125,0.150,99.717,0.008,0.000,0.000,0.101,0.141,99.755,0.003,0.0,0.000,0.098,0.142,99.759,0.001,0.0,0.000,0.094,0.141,99.764,0.001,0.0,0.000,0.092,0.134,99.774,0.001,0.0,0.000,0.085,0.135,99.780,0.001,0.0,0.000,0.085,0.132,99.783,0.001,0.0,0.000,0.108,0.146,99.731,0.015,0.000,0.000,1828143104.0,1047912448.0,9247891456.0,1.35756562432e+11,681.486,43015.523,0.0,0.0,1466878051.383
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.100,0.100,99.800,0.0,0.0,0.0,1828052992.0,1047912448.0,9247895552.0,1.35756648448e+11,0.0,0.0,264.0,950.0,1466878052.384
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.050,0.0,99.950,0.0,0.0,0.0,1828052992.0,1047912448.0,9247895552.0,1.35756648448e+11,0.0,0.0,9717.0,5257.0,1466878053.384
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.350,0.350,99.299,0.0,0.0,0.0,1831075840.0,1047912448.0,9247911936.0,1.35753609216e+11,0.0,143360.0,4619.0,3392.0,1466878054.384
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,97.030,0.990,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.556,6.061,38.384,0.0,0.0,0.0,7.143,1.020,91.837,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,12.766,4.255,82.979,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.960,2.970,93.069,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.125,3.125,93.750,0.0,0.0,0.0,4.435,1.260,94.254,0.050,0.0,0.0,1834295296.0,1047912448.0,9312952320.0,1.35685349376e+11,0.0,135168.0,705.0,912.0,1466878055.384
5.825,13.592,79.612,0.0,0.0,0.971,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,71.717,11.111,17.172,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,19.388,4.082,76.531,0.0,0.0,0.0,4.910,1.854,93.236,0.0,0.0,0.0,1834770432.0,1047912448.0,9399128064.0,1.35598698496e+11,0.0,0.0,198.0,1090.0,1466878056.384
4.082,14.286,81.633,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.051,23.232,71.717,0.0,0.0,0.0,1.020,2.041,94.898,2.041,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.143,6.122,86.735,0.0,0.0,0.0,2.020,5.051,92.929,0.0,0.0,0.0,9.901,4.950,85.149,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,5.102,4.082,90.816,0.0,0.0,0.0,3.0,3.0,94.0,0.0,0.0,0.0,4.0,5.0,90.0,1.0,0.0,0.0,2.358,3.663,93.778,0.151,0.0,0.050,1836212224.0,1048203264.0,9623924736.0,1.35372169216e+11,0.0,2949120.0,6409.0,20422.0,1466878057.384
0.0,0.0,97.059,0.0,0.0,2.941,2.020,5.051,92.929,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.383,3.191,90.426,0.0,0.0,0.0,0.0,2.083,97.917,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,3.030,3.030,93.939,0.0,0.0,0.0,3.030,13.131,83.838,0.0,0.0,0.0,18.367,6.122,75.510,0.0,0.0,0.0,37.374,9.091,53.535,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,13.0,78.0,0.0,0.0,0.0,4.183,2.873,92.792,0.0,0.0,0.151,1841201152.0,1049038848.0,9623494656.0,1.35366774784e+11,0.0,5394432.0,198.0,442.0,1466878058.384
24.242,6.061,69.697,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,4.124,2.062,93.814,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,7.143,3.061,89.796,0.0,0.0,0.0,5.051,3.030,91.919,0.0,0.0,0.0,2.970,4.950,92.079,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,16.327,5.102,78.571,0.0,0.0,0.0,7.143,0.0,92.857,0.0,0.0,0.0,15.842,2.970,81.188,0.0,0.0,0.0,2.0,6.0,92.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,2.0,93.0,0.0,0.0,0.0,18.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.030,6.061,89.899,1.010,0.0,0.0,5.998,2.772,91.179,0.050,0.0,0.0,1848573952.0,1049063424.0,9511690240.0,1.35471181824e+11,0.0,1568768.0,440.0,1164.0,1466878059.384
13.0,11.0,76.0,0.0,0.0,0.0,31.250,16.667,52.083,0.0,0.0,0.0,10.101,9.091,80.808,0.0,0.0,0.0,6.316,4.211,89.474,0.0,0.0,0.0,16.0,12.0,72.0,0.0,0.0,0.0,24.242,12.121,60.606,3.030,0.0,0.0,9.901,10.891,79.208,0.0,0.0,0.0,9.804,10.784,79.412,0.0,0.0,0.0,7.292,12.500,80.208,0.0,0.0,0.0,10.204,11.224,78.571,0.0,0.0,0.0,23.0,10.0,67.0,0.0,0.0,0.0,11.458,10.417,78.125,0.0,0.0,0.0,10.0,10.0,80.0,0.0,0.0,0.0,9.184,11.224,79.592,0.0,0.0,0.0,6.0,3.0,91.0,0.0,0.0,0.0,4.040,3.030,92.929,0.0,0.0,0.0,7.071,6.061,86.869,0.0,0.0,0.0,32.653,14.286,40.816,11.224,0.0,1.020,6.061,7.071,86.869,0.0,0.0,0.0,11.224,5.102,83.673,0.0,0.0,0.0,12.861,9.570,76.861,0.658,0.0,0.051,1990791168.0,1049096192.0,9591963648.0,1.35248658432e+11,0.0,216334336.0,7706.0,38550.0,1466878060.384
